ElectronEnergy_eV,Efficiency_percent,Pressure_MPa,MagneticField_T
100.0,33.905799726457246,1.0,0.5
150.0,29.34465862154505,1.0,0.5
200.0,24.482868559602437,1.0,0.5
100.0,33.89260572423471,2.0,0.5
150.0,29.343482231348087,2.0,0.5
200.0,24.482868559602508,2.0,0.5
100.0,33.905799726457246,1.0,1.0
150.0,29.34465862154505,1.0,1.0
200.0,24.482868559602437,1.0,1.0
100.0,33.89260572423471,2.0,1.0
150.0,29.343482231348087,2.0,1.0
200.0,24.482868559602508,2.0,1.0
100.0,33.905799726457246,1.0,1.5
150.0,29.34465862154505,1.0,1.5
200.0,24.482868559602437,1.0,1.5
100.0,33.89260572423471,2.0,1.5
150.0,29.343482231348087,2.0,1.5
200.0,24.482868559602508,2.0,1.5
100.0,33.905799726457246,1.0,2.0
150.0,29.34465862154505,1.0,2.0
200.0,24.482868559602437,1.0,2.0
100.0,33.89260572423471,2.0,2.0
150.0,29.343482231348087,2.0,2.0
200.0,24.482868559602508,2.0,2.0
