Pressure_MPa,Efficiency_percent,ElectronEnergy_eV,MagneticField_T
1.0,33.905799726457246,100.0,0.5
2.0,33.89260572423471,100.0,0.5
1.0,29.34465862154505,150.0,0.5
2.0,29.343482231348087,150.0,0.5
2.0,24.482868559602508,200.0,0.5
1.0,24.482868559602437,200.0,0.5
1.0,33.905799726457246,100.0,1.0
2.0,33.89260572423471,100.0,1.0
1.0,29.34465862154505,150.0,1.0
2.0,29.343482231348087,150.0,1.0
2.0,24.482868559602508,200.0,1.0
1.0,24.482868559602437,200.0,1.0
1.0,33.905799726457246,100.0,1.5
2.0,33.89260572423471,100.0,1.5
1.0,29.34465862154505,150.0,1.5
2.0,29.343482231348087,150.0,1.5
2.0,24.482868559602508,200.0,1.5
1.0,24.482868559602437,200.0,1.5
1.0,33.905799726457246,100.0,2.0
2.0,33.89260572423471,100.0,2.0
1.0,29.34465862154505,150.0,2.0
2.0,29.343482231348087,150.0,2.0
2.0,24.482868559602508,200.0,2.0
1.0,24.482868559602437,200.0,2.0
