elastic_energy_J,electron_count,inelastic_energy_J,input_energy_J,Time_microseconds
4.620922788561266e-10,44,1.4558529005999995e-8,2.4032699999999998e-8,1.9999999999999998e-5
9.411321912472205e-10,70,1.6807989726e-8,2.4032699999999998e-8,3.9999999999999996e-5
1.0302754708175479e-9,85,1.6058169485999998e-8,2.4032699999999998e-8,5.9999999999999995e-5
9.530426765904858e-10,102,3.2357146625999994e-8,2.4032699999999998e-8,7.999999999999999e-5
1.061683128621501e-9,108,3.4026457968e-8,2.4032699999999998e-8,9.999999999999999e-5
1.1285451645032456e-9,110,2.669792643e-8,2.4032699999999998e-8,0.00011999999999999999
1.0016657986308711e-9,121,3.368903885999999e-8,2.4032699999999998e-8,0.00014
9.184239125445959e-10,129,4.0749365466000004e-8,2.4032699999999998e-8,0.00015999999999999999
1.0769587337966694e-9,140,3.9685678164e-8,2.4032699999999998e-8,0.00017999999999999998
8.422177246776352e-10,130,3.3785650314e-8,2.4032699999999998e-8,0.00019999999999999998
1.8543064492001332e-10,80,2.3457837816e-8,2.4032699999999998e-8,0.00021999999999999998
1.6565066927237877e-10,66,1.7628946758000002e-8,2.4032699999999998e-8,0.00023999999999999998
8.727196610216054e-11,65,2.4957478296e-8,2.4032699999999998e-8,0.00026
1.3154790190968102e-10,67,1.8378766998000004e-8,2.4032699999999998e-8,0.00028
1.233839512289059e-10,67,1.8137959344e-8,2.4032699999999998e-8,0.0003
1.1903591862064139e-10,69,1.9467928961999998e-8,2.4032699999999998e-8,0.00031999999999999997
1.0756273556446602e-10,64,1.4148050489999997e-8,2.4032699999999998e-8,0.00033999999999999997
8.881601392768319e-11,71,2.2370598468e-8,2.4032699999999998e-8,0.00035999999999999997
9.016053202855553e-11,78,2.5559737758e-8,2.4032699999999998e-8,0.00037999999999999997
1.0433437388011297e-10,77,2.5101674496000002e-8,2.4032699999999998e-8,0.00039999999999999996
1.0428502519598673e-10,75,2.0435004809999997e-8,2.4032699999999998e-8,0.00041999999999999996
1.0437519216091745e-10,89,1.9900517562e-8,2.4032699999999998e-8,0.00043999999999999996
8.69137043153072e-11,103,2.9354501087999997e-8,2.4032699999999998e-8,0.00045999999999999996
