ElectronEnergy_eV,Efficiency_percent,Pressure_MPa,MagneticField_T
10.0,87.36858190986139,1.0,0.5
25.0,66.18282749494851,1.0,0.5
50.0,54.981070481140605,1.0,0.5
100.0,50.68202293521999,1.0,0.5
150.0,47.81808737082016,1.0,0.5
200.0,43.789321888270024,1.0,0.5
500.0,29.23738706639845,1.0,0.5
750.0,22.41121946178962,1.0,0.5
1000.0,17.68635976228078,1.0,0.5
10.0,87.30612084088679,3.0,0.5
25.0,65.95926905923449,3.0,0.5
50.0,54.73556858321955,3.0,0.5
100.0,50.58395887627646,3.0,0.5
150.0,47.40551051371699,3.0,0.5
200.0,42.96567194565312,3.0,0.5
500.0,29.15743489124489,3.0,0.5
750.0,22.54597361374722,3.0,0.5
1000.0,18.360071417305395,3.0,0.5
10.0,87.30608472418675,4.0,0.5
25.0,66.03313219028196,4.0,0.5
50.0,54.423972383862356,4.0,0.5
100.0,50.39246517710566,4.0,0.5
150.0,46.80406537811381,4.0,0.5
200.0,43.23675743441866,4.0,0.5
500.0,29.216713963420215,4.0,0.5
750.0,22.52662275723258,4.0,0.5
1000.0,18.355734963682085,4.0,0.5
10.0,87.30426324159818,2.0,0.5
25.0,65.93551195692578,2.0,0.5
50.0,54.39268154146926,2.0,0.5
100.0,50.60507060144014,2.0,0.5
150.0,47.14953324701328,2.0,0.5
200.0,43.236208928352404,2.0,0.5
500.0,29.137396690919463,2.0,0.5
750.0,22.593379565331745,2.0,0.5
1000.0,18.352571484472982,2.0,0.5
10.0,87.36858190986139,1.0,1.0
25.0,66.18282749494851,1.0,1.0
50.0,54.981070481140605,1.0,1.0
100.0,50.68202293521999,1.0,1.0
150.0,47.818087370820166,1.0,1.0
200.0,43.78932188827002,1.0,1.0
500.0,29.23738706639845,1.0,1.0
750.0,22.41121946178962,1.0,1.0
1000.0,17.686359762280784,1.0,1.0
10.0,87.30612084088679,3.0,1.0
25.0,65.95926905923449,3.0,1.0
50.0,54.73556858321955,3.0,1.0
100.0,50.583958876276476,3.0,1.0
150.0,47.40551051371698,3.0,1.0
200.0,42.96567194565312,3.0,1.0
500.0,29.15743489124489,3.0,1.0
750.0,22.54597361374722,3.0,1.0
1000.0,18.360071417305395,3.0,1.0
10.0,87.30608472418675,4.0,1.0
25.0,66.03313219028196,4.0,1.0
50.0,54.423972383862356,4.0,1.0
100.0,50.39246517710566,4.0,1.0
150.0,46.80406537811381,4.0,1.0
200.0,43.23675743441867,4.0,1.0
500.0,29.21671396342021,4.0,1.0
750.0,22.526622757232563,4.0,1.0
1000.0,18.355734963682085,4.0,1.0
10.0,87.30426324159818,2.0,1.0
25.0,65.93551195692578,2.0,1.0
50.0,54.39268154146926,2.0,1.0
100.0,50.60507060144011,2.0,1.0
150.0,47.14953324701328,2.0,1.0
200.0,43.2362089283524,2.0,1.0
500.0,29.137396690919463,2.0,1.0
750.0,22.593379565331734,2.0,1.0
1000.0,18.352571484472982,2.0,1.0
10.0,87.36858190986139,1.0,1.5
25.0,66.18282749494851,1.0,1.5
50.0,54.981070481140605,1.0,1.5
100.0,50.68202293521999,1.0,1.5
150.0,47.818087370820166,1.0,1.5
200.0,43.78932188827002,1.0,1.5
500.0,29.237387066398455,1.0,1.5
750.0,22.41121946178962,1.0,1.5
1000.0,17.686359762280784,1.0,1.5
10.0,87.30612084088679,3.0,1.5
25.0,65.95926905923449,3.0,1.5
50.0,54.73556858321955,3.0,1.5
100.0,50.58395887627646,3.0,1.5
150.0,47.40551051371697,3.0,1.5
200.0,42.96567194565312,3.0,1.5
500.0,29.15743489124489,3.0,1.5
750.0,22.545973613747222,3.0,1.5
1000.0,18.3600714173054,3.0,1.5
10.0,87.30608472418675,4.0,1.5
25.0,66.03313219028196,4.0,1.5
50.0,54.423972383862356,4.0,1.5
100.0,50.39246517710566,4.0,1.5
150.0,46.80406537811381,4.0,1.5
200.0,43.23675743441867,4.0,1.5
500.0,29.21671396342021,4.0,1.5
750.0,22.52662275723258,4.0,1.5
1000.0,18.355734963682085,4.0,1.5
10.0,87.30426324159818,2.0,1.5
25.0,65.93551195692578,2.0,1.5
50.0,54.392681541469265,2.0,1.5
100.0,50.60507060144014,2.0,1.5
150.0,47.14953324701328,2.0,1.5
