MagneticField_T,FinalEfficiency_percent,ElectronEnergy_eV,Pressure_MPa
0.5,87.43823360567538,10.0,2.0
1.0,87.43823360567538,10.0,2.0
1.5,87.43823360567538,10.0,2.0
2.0,87.43823360567538,10.0,2.0
0.5,66.67776624705708,25.0,2.0
1.0,66.67776624705708,25.0,2.0
1.5,66.67776624705708,25.0,2.0
2.0,66.67776624705708,25.0,2.0
0.5,55.59879213899534,50.0,2.0
1.0,55.59879213899534,50.0,2.0
1.5,55.59879213899534,50.0,2.0
2.0,55.59879213899534,50.0,2.0
0.5,51.46776062575436,100.0,2.0
1.0,51.46776062575436,100.0,2.0
1.5,51.46776062575436,100.0,2.0
2.0,51.46776062575436,100.0,2.0
0.5,48.409946507220184,150.0,2.0
1.0,48.409946507220184,150.0,2.0
1.5,48.409946507220184,150.0,2.0
2.0,48.409946507220184,150.0,2.0
1.0,44.63529328786068,200.0,2.0
0.5,44.63529328786067,200.0,2.0
1.5,44.63529328786067,200.0,2.0
2.0,44.63529328786067,200.0,2.0
1.5,30.647944836056272,500.0,2.0
0.5,30.64794483605627,500.0,2.0
1.0,30.64794483605627,500.0,2.0
2.0,30.647944836056265,500.0,2.0
2.0,24.29514308636474,750.0,2.0
0.5,24.295143086364735,750.0,2.0
1.5,24.295143086364735,750.0,2.0
1.0,24.29514308636473,750.0,2.0
2.0,20.215665993911735,1000.0,2.0
1.5,20.21566599391173,1000.0,2.0
0.5,20.215665993911728,1000.0,2.0
1.0,20.215665993911728,1000.0,2.0
0.5,87.40308938077861,10.0,4.0
1.0,87.40308938077861,10.0,4.0
1.5,87.40308938077861,10.0,4.0
2.0,87.40308938077861,10.0,4.0
0.5,66.43803825762718,25.0,4.0
1.0,66.43803825762718,25.0,4.0
1.5,66.43803825762718,25.0,4.0
2.0,66.43803825762718,25.0,4.0
0.5,55.021201056079626,50.0,4.0
1.0,55.021201056079626,50.0,4.0
1.5,55.021201056079626,50.0,4.0
2.0,55.021201056079626,50.0,4.0
0.5,51.186615359100784,100.0,4.0
1.0,51.186615359100784,100.0,4.0
1.5,51.186615359100784,100.0,4.0
2.0,51.186615359100784,100.0,4.0
1.0,47.99462214641275,150.0,4.0
1.5,47.99462214641275,150.0,4.0
0.5,47.994622146412745,150.0,4.0
2.0,47.994622146412745,150.0,4.0
0.5,44.17749560615816,200.0,4.0
1.0,44.17749560615816,200.0,4.0
1.5,44.17749560615816,200.0,4.0
2.0,44.17749560615816,200.0,4.0
1.5,30.686630304509137,500.0,4.0
0.5,30.686630304509134,500.0,4.0
1.0,30.686630304509134,500.0,4.0
2.0,30.686630304509134,500.0,4.0
1.0,24.249169408574783,750.0,4.0
1.5,24.249169408574783,750.0,4.0
0.5,24.24916940857478,750.0,4.0
2.0,24.24916940857478,750.0,4.0
1.5,20.223803099960914,1000.0,4.0
2.0,20.22380309996091,1000.0,4.0
0.5,20.223803099960907,1000.0,4.0
1.0,20.223803099960907,1000.0,4.0
0.5,87.3794477320574,10.0,3.0
1.0,87.3794477320574,10.0,3.0
1.5,87.3794477320574,10.0,3.0
2.0,87.3794477320574,10.0,3.0
0.5,66.34032907853778,25.0,3.0
1.0,66.34032907853778,25.0,3.0
1.5,66.34032907853778,25.0,3.0
2.0,66.34032907853778,25.0,3.0
0.5,55.28855356267657,50.0,3.0
1.0,55.28855356267657,50.0,3.0
1.5,55.28855356267657,50.0,3.0
2.0,55.28855356267657,50.0,3.0
0.5,51.39833016762317,100.0,3.0
1.0,51.39833016762317,100.0,3.0
1.5,51.39833016762317,100.0,3.0
2.0,51.39833016762317,100.0,3.0
0.5,47.98783715039911,150.0,3.0
1.5,47.98783715039911,150.0,3.0
2.0,47.98783715039911,150.0,3.0
1.0,47.9878371503991,150.0,3.0
1.5,44.598167203926934,200.0,3.0
2.0,44.598167203926934,200.0,3.0
0.5,44.59816720392692,200.0,3.0
1.0,44.59816720392692,200.0,3.0
1.0,30.723040845227757,500.0,3.0
0.5,30.72304084522775,500.0,3.0
1.5,30.723040845227747,500.0,3.0
2.0,30.723040845227747,500.0,3.0
1.0,24.26245115468408,750.0,3.0
0.5,24.26245115468407,750.0,3.0
2.0,24.26245115468407,750.0,3.0
1.5,24.262451154684065,750.0,3.0
0.5,20.21743318570121,1000.0,3.0
1.0,20.21743318570121,1000.0,3.0
1.5,20.217433185701207,1000.0,3.0
2.0,20.217433185701207,1000.0,3.0
0.5,87.01658619969966,10.0,1.0
1.0,87.01658619969966,10.0,1.0
1.5,87.01658619969966,10.0,1.0
2.0,87.01658619969966,10.0,1.0
0.5,66.2799137201868,25.0,1.0
1.0,66.2799137201868,25.0,1.0
1.5,66.2799137201868,25.0,1.0
2.0,66.2799137201868,25.0,1.0
0.5,55.19091142325166,50.0,1.0
1.0,55.19091142325166,50.0,1.0
1.5,55.19091142325166,50.0,1.0
2.0,55.19091142325166,50.0,1.0
1.0,51.579262754039355,100.0,1.0
2.0,51.57926275403935,100.0,1.0
0.5,51.57926275403934,100.0,1.0
1.5,51.57926275403934,100.0,1.0
1.0,48.22291040425766,150.0,1.0
0.5,48.222910404257654,150.0,1.0
1.5,48.222910404257654,150.0,1.0
2.0,48.222910404257654,150.0,1.0
1.0,44.30344178166856,200.0,1.0
2.0,44.30344178166856,200.0,1.0
0.5,44.30344178166855,200.0,1.0
1.5,44.303441781668546,200.0,1.0
0.5,29.73734004317328,500.0,1.0
2.0,29.73734004317328,500.0,1.0
1.0,29.737340043173276,500.0,1.0
1.5,29.737340043173276,500.0,1.0
0.5,22.42167723663023,750.0,1.0
1.0,22.42167723663023,750.0,1.0
1.5,22.42167723663023,750.0,1.0
2.0,22.42167723663023,750.0,1.0
0.5,17.72112113763404,1000.0,1.0
1.0,17.721121137634036,1000.0,1.0
1.5,17.721121137634036,1000.0,1.0
2.0,17.721121137634036,1000.0,1.0
